,Tweets,len,ID
70,"RT @MahletCapu: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most l…",140,1509307013246984194
71,"RT @KibromZebrehe: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mos…",140,1509307010415747076
72,"RT @JournoJane: Animals are threatened by starvation as shelling wrecks deliveries of meat to zoo animals, and the lives of staff have been…",140,1509307009509830658
73,"RT @eMTN9NznbuL7xEu: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509307006049746945
74,"RT @SendelYonas: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most…",139,1509307004434722822
75,"@ZelenskyyUa @Peston @BorisJohnson @POTUS @bbclaurak @TimesRadio #EU #Nato @Keir_Starmer @RohitKachrooitv more weapons &amp; military men forward into Ukraine. Putin can’t be trusted. How can India, China &amp; some EU countries still buying oil from Russia which funds the war against UA",288,1509307003801411595
76,"RT @ulrichspeck: Most importantly, the West must do everything to arm and train Ukraine's military; namely once this war is over. The more…",139,1509307000009764874
77,"When the same awful thing happens often enough, it ceases to be newsworthy – and that is a big problem   https://t.co/xLHmePXA6x",128,1509306995802738695
78,Can’t say there’s something promising: Kremlin after negotiations with Ukraine https://t.co/YjcTUhz7Uv,102,1509306991147028481
79,"Norway has strongly supported Ukraine. He called for even more help - weapons, sanctions against Russia.
https://t.co/CHM39K4UPg
#RussianUkrainianWar #UkraineRussiaWar #RussianArmy #Ukraine #Russia #RussianWarCrimes #Russians",225,1509306989058433032
80,"The US Under Secretary of State for Civil Security, Democracy, and Human Rights, Ezra Zia, discussed with a number of Emirati officials the importance of building a strong international response to support #Ukraine in the wake of #Russia's illegal and unjustified war against it.",279,1509306988919934977
81,"RT @ILoveTi33775235: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's m…",140,1509306987015806983
82,"RT @business: One month after the invasion of Ukraine, Russia is now the most sanctioned country in the world.

Despite that, half of Russi…",140,1509306975791849473
83,RT @MeidasTouch: Kremlin File producer @jackabryan takes Olga and Mo inside Russia's recently launched troll farm that is being used to sow…,140,1509306973203935235
84,"RT @meronawit_Axum: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mo…",140,1509306959941767170
85,"RT @NPR: As Wednesday draws to a close in Kyiv and in Moscow, here are the key developments of the day: https://t.co/uvLDGjQwOO https://t.c…",140,1509306957055897604
86,"RT @KingoTDF: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most let…",140,1509306956271525891
87,"RT @KibromZebrehe: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mos…",140,1509306954119852040
88,"Ukraine war: Russia, China look to develop closer ties in face of 'illegal' Western sanctions https://t.co/rgHA1TVLsF",117,1509306952333115405
89,RT @BSBonner: Thousands killed. Thousands wounded. $500 billion in damages. Cities ruined. 10 million Ukrainians are displaced/living abroa…,140,1509306951896809472
90,RT @nytimesworld: The United Nations top human rights body on Wednesday appointed a commission to investigate accusations of war crimes and…,140,1509306943873032196
91,RT @snlyngaas: NEW and exclusive: The story of a Ukrainian man who sought to avenge the war by leaking a trove of embarrassing documents on…,140,1509306941616578564
92,"RT @HarunKarcic: Here is my piece for @ForeignPolicy on Putin's proxies in the Balkans.

Many thanks 🙏 @jenn_ruth

Moscow is creating a pre…",140,1509306938911297541
93,"RT @Yordanos_Alex: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's mos…",140,1509306933530234882
94,"RT @GereShaba: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most le…",140,1509306927674802182
95,"Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most lethal disastrous war is taking place in #Tigray, where food has been weaponized for more than 17 months. #EndTigraySiege @vickyford @SenatorRounds",269,1509306924415782914
96,"RT @KokebTigray: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most…",139,1509306920896708616
97,"RT @SergiyKyslytsya: Russian attacks with cluster munitions ""may amount to war crimes,"" UN says:  UN Human Rights Monitoring Mission in Ukr…",140,1509306919495909376
98,"RT @KingoTDF: Russia's invasion of Ukraine has drawn #IC's attention away from other wars, including #Tigray. However, the world's most let…",140,1509306917595881472
99,"RT @SergiyKyslytsya: Russian attacks with cluster munitions ""may amount to war crimes,"" UN says:  UN Human Rights Monitoring Mission in Ukr…",140,1509306916870123526
